Name,Hash,Id,Tag,Rarity,Tier,Type,Source,Category,Element,Ammo,Power,Archetype,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Holofoil,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Persistence,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Ammo Generation,Heat Generated,Cooling Efficiency,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18
Abyssal Edge,4221591387,"""6917530087017907046""",,Legendary,0,Sword,,Power,Strand,heavy,10,Wave Sword Frame,Impact,10,Hunter(60),false,false,false,7,26,,0,0,64,0,0,0,0,0,0,0,0,71,0,0,0,0,10,70,60,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Hungry Edge*,Enduring Blade,Honed Edge,Heavy Guard*,Swordmaster's Guard,Tireless Blade*,Duelist's Trance,Elemental Honing*,Redirection,Willing Vessel*,Runneth Over,Kill Tracker,Masterworked: Impact*,,,,,
Ace of Spades,347366834,"""6917529205115842305""",,Exotic,0,Hand Cannon,,KineticSlot,Kinetic,primary,456,Memento Mori,,10,Vault,false,false,false,2,4,,100,70,84,85,14,0,0,0,50,140,42,13,50,0,0,0,0,0,0,0,0,14,56,0,0,false,0,446,,,,Memento Mori*,Corkscrew Rifling*,High-Caliber Rounds*,Firefly*,Smooth Grip*,Kill Tracker,Ace of Spades Catalyst*,,,,,,,,,,,,
Acosmic,425681240,"""6917530071956743083""",,Legendary,0,Grenade Launcher,events,Power,Void,heavy,10,Rapid-Fire Frame,Handling,3,Vault,true,false,false,7,25,Festival of the Lost,64,36,0,0,13,30,48,0,28,150,56,5,28,0,0,0,0,0,0,0,0,18,50,0,0,false,0,0,nadir,,,Rapid-Fire Frame*,Confined Launch*,Smart Drift Control,Alloy Casing*,Mini Frags,Withering Gaze*,Chain Reaction*,Search Party*,Nadir Focus,Kill Tracker,Tier 3: Handling*,,,,,,,,
Acosmic,425681240,"""6917530071956749427""",,Legendary,0,Grenade Launcher,events,Power,Void,heavy,10,Rapid-Fire Frame,Handling,2,Vault,false,false,false,7,25,Festival of the Lost,64,36,0,0,13,5,63,0,28,150,26,5,27,0,0,0,0,0,0,0,0,18,50,0,0,false,0,0,nadir,,,Rapid-Fire Frame*,Linear Compensator*,Smart Drift Control,Proximity Grenades*,High-Velocity Rounds,Enlightened Action*,Explosive Light*,Search Party*,Nadir Focus,Kill Tracker,Tier 2: Handling*,,,,,,,,
Adamantite,621450049,"""6917530191288973338""",,Legendary,3,Auto Rifle,,KineticSlot,Strand,primary,461,Support Frame,Stability,3,Vault,false,false,false,8,28,,52,64,21,54,16,0,0,0,42,600,66,44,65,0,0,0,0,0,0,0,0,23,54,0,0,false,0,0,,,,Support Frame*,Full Bore*,Smallbore,Alloy Magazine*,Flared Magwell,Pugilist*,Redirection,Desperate Measures*,Aggregate Charge,Heretical Behavior*,Willing Vessel,Kill Tracker,Tier 3: Stability*,,,,,,
Adamantite,3229982889,"""6917530192841995068""",,Legendary,0,Auto Rifle,heresy,KineticSlot,Strand,primary,461,Support Frame,Stability,1,Vault,false,false,false,7,26,,62,64,21,59,16,0,0,0,50,600,66,44,60,0,0,0,0,0,0,0,0,23,54,0,0,false,0,0,,,,Support Frame*,Extended Barrel*,Hammer-Forged Rifling,Accurized Rounds*,Flared Magwell,Subsistence*,Hatchling*,Willing Vessel*,Kill Tracker,Tier 1: Stability*,,,,,,,,,
Adhortative,2993554824,"""6917529972543486349""",,Legendary,0,Pulse Rifle,rivenslair,Energy,Solar,primary,10,Adaptive Frame,Stability,1,Vault,false,false,false,6,23,,61,61,29,46,17,0,0,0,56,390,39,37,57,0,0,0,0,0,0,0,0,10,52,0,0,false,0,0,,,,Adaptive Frame*,Fluted Barrel*,Hammer-Forged Rifling,Armor-Piercing Rounds*,High-Caliber Rounds,Attrition Orbs*,Incandescent*,Nano-Munitions*,Kill Tracker,Tier 1: Stability*,,,,,,,,,
Adhortative,2993554824,"""6917529972589697699""",,Legendary,0,Pulse Rifle,rivenslair,Energy,Solar,primary,10,Adaptive Frame,Stability,2,Vault,false,false,false,6,23,,71,61,29,46,17,0,0,0,72,390,39,37,37,0,0,0,0,0,0,0,0,10,52,0,0,false,0,0,,,,Adaptive Frame*,Chambered Compensator*,Hammer-Forged Rifling,Ricochet Rounds*,Flared Magwell,Feeding Frenzy*,Golden Tricorn*,Nano-Munitions*,Kill Tracker,Tier 2: Stability*,,,,,,,,,
Adhortative,2993554824,"""6917529980827243908""",,Legendary,0,Pulse Rifle,rivenslair,Energy,Solar,primary,10,Adaptive Frame,Range,2,Vault,false,false,false,6,23,,61,61,29,53,17,0,0,0,65,390,39,37,47,0,0,0,0,0,0,0,0,10,52,0,0,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Hammer-Forged Rifling,Ricochet Rounds*,Flared Magwell,Heal Clip*,Headseeker*,Nano-Munitions*,Kill Tracker,Tier 2: Range*,,,,,,,,,
Admetus-D,3776430252,"""6917530087036110826""",,Legendary,0,Scout Rifle,engram,Energy,Void,primary,10,High-Impact Frame,Stability,2,Vault,false,false,false,7,26,,86,37,67,75,21,0,0,0,31,150,35,14,20,0,0,0,0,0,0,0,0,17,50,0,0,false,0,0,hakke,,,High-Impact Frame*,Extended Barrel*,Smallbore,Alloy Magazine*,Armor-Piercing Rounds,Keep Away*,Elemental Honing*,Häkke Breach Armaments*,Kill Tracker,Tier 2: Stability*,,,,,,,,,
Admetus-D,3776430252,"""6917530087302484416""",,Legendary,0,Scout Rifle,engram,Energy,Void,primary,10,High-Impact Frame,Range,1,Vault,false,false,false,7,26,,86,37,67,71,21,0,0,0,39,150,35,14,25,0,0,0,0,0,0,0,0,17,50,0,0,false,0,0,hakke,,,High-Impact Frame*,Chambered Compensator*,Extended Barrel,Armor-Piercing Rounds*,Light Mag,Lone Wolf*,Closing Time*,Häkke Breach Armaments*,Kill Tracker,Tier 1: Range*,,,,,,,,,
Adverse Possession IX,1890332078,"""6917530025697061534""",,Legendary,0,Scout Rifle,engram,Energy,Arc,primary,10,Precision Frame,Range,1,Vault,false,false,false,7,24,,76,61,62,47,20,0,0,0,49,180,40,15,43,0,0,0,0,0,0,0,0,10,51,0,0,false,0,0,cassoid,,,Precision Frame*,Corkscrew Rifling*,Polygonal Rifling,Alloy Magazine*,Flared Magwell,Threat Detector*,Wellspring*,Suros Synergy*,Kill Tracker,Tier 1: Range*,,,,,,,,,
Adverse Possession IX,1890332078,"""6917530064995680536""",,Legendary,0,Scout Rifle,engram,Energy,Arc,primary,10,Precision Frame,Reload Speed,2,Vault,false,false,false,7,24,,76,61,62,56,20,0,0,0,49,180,42,15,43,0,0,0,0,0,0,0,0,10,51,0,0,false,0,0,cassoid,,,Precision Frame*,Corkscrew Rifling*,Fluted Barrel,Accurized Rounds*,Alloy Magazine,Discord*,Frenzy*,Suros Synergy*,Kill Tracker,Tier 2: Reload Speed*,,,,,,,,,
Agape,4124362340,"""6917530185901335781""",,Legendary,1,Hand Cannon,kepler,Energy,Solar,primary,300,Heavy Burst,Handling,2,Vault,false,false,false,8,27,,90,63,92,79,14,0,0,0,38,257,21,14,31,0,0,0,0,0,0,0,0,19,55,0,0,false,0,0,,,,Heavy Burst*,Hammer-Forged Rifling*,Polygonal Rifling,Ricochet Rounds*,Light Mag,Rewind Rounds*,Fragile Focus*,Exhaustive Research*,Kill Tracker,Tier 2: Handling*,,,,,,,,,
Agape,4124362340,"""6917530186043107286""",,Legendary,1,Hand Cannon,kepler,Energy,Solar,primary,325,Heavy Burst,Reload Speed,1,Vault,false,false,false,8,27,,90,63,92,64,14,0,0,0,38,257,2,20,29,0,0,0,0,0,0,0,0,29,55,0,0,false,0,0,,,,Heavy Burst*,Polygonal Rifling*,Smallbore,Extended Mag*,Appended Mag,Pugilist*,Master of Arms*,Exhaustive Research*,Kill Tracker,Tier 1: Reload Speed*,,,,,,,,,
Agape,4124362340,"""6917530186052475218""",,Legendary,1,Hand Cannon,kepler,Energy,Solar,primary,341,Heavy Burst,Reload Speed,2,Vault,false,false,false,8,27,,90,63,92,79,14,0,0,0,18,257,23,14,24,0,0,0,0,0,0,0,0,19,55,0,0,false,0,0,,,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 3.5 below the best copy. Retain Agape ID 6917530188027105778. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",Heavy Burst*,Full Bore*,Hammer-Forged Rifling,Alloy Magazine*,Armor-Piercing Rounds,Snapshot Sights*,Firefly*,Exhaustive Research*,Kill Tracker,Tier 2: Reload Speed*,,,,,,,,,
Agape,4124362340,"""6917530186063785629""",,Legendary,1,Hand Cannon,kepler,Energy,Solar,primary,345,Heavy Burst,Stability,1,Vault,false,false,false,8,27,,100,63,92,64,14,0,0,0,29,257,1,20,39,0,0,0,0,0,0,0,0,29,55,0,0,false,0,0,,,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Selected main-trait pair is duplicated by a stronger retained copy; legal main-trait options are covered by a stronger copy. Retain Agape ID 6917530186089352609. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",Heavy Burst*,Arrowhead Brake*,Extended Barrel,Extended Mag*,Appended Mag,Pugilist*,Incandescent*,Exhaustive Research*,Kill Tracker,Tier 1: Stability*,,,,,,,,,
Agape,4124362340,"""6917530186063791838""",,Legendary,1,Hand Cannon,kepler,Energy,Solar,primary,336,Heavy Burst,Handling,2,Vault,false,false,false,8,27,,90,63,92,74,14,0,0,0,33,257,21,14,36,0,0,0,0,0,0,0,0,19,55,0,0,false,0,0,,,,Heavy Burst*,Corkscrew Rifling*,Full Bore,High-Caliber Rounds*,Ricochet Rounds,Rewind Rounds*,Precision Instrument*,Exhaustive Research*,Kill Tracker,Tier 2: Handling*,,,,,,,,,
Agape,4124362340,"""6917530186089352609""",,Legendary,2,Hand Cannon,kepler,Energy,Solar,primary,356,Heavy Burst,Handling,2,Vault,false,false,false,8,27,,100,63,92,64,14,0,0,0,28,257,1,20,41,0,0,0,0,0,0,0,0,29,55,0,0,false,0,0,,,,Heavy Burst*,Arrowhead Brake*,Chambered Compensator,Extended Mag*,Light Mag,Pugilist*,Incandescent*,Exhaustive Research*,Kill Tracker,Tier 2: Handling*,,,,,,,,,
Agape,4124362340,"""6917530186390107508""",,Legendary,2,Hand Cannon,kepler,Energy,Solar,primary,393,Heavy Burst,Stability,3,Vault,false,false,false,8,27,,100,63,92,74,14,0,0,0,31,257,21,18,19,0,0,0,0,0,0,0,0,19,55,0,0,false,0,0,,,,Heavy Burst*,Extended Barrel*,Smallbore,Appended Mag*,Ricochet Rounds,Pugilist*,Burning Ambition*,Exhaustive Research*,Kill Tracker,Tier 3: Stability*,,,,,,,,,
Agape,4124362340,"""6917530188027105778""",keep,Legendary,2,Hand Cannon,kepler,Energy,Solar,primary,416,Heavy Burst,Stability,1,Vault,false,false,false,8,27,,90,63,92,69,14,0,0,0,34,257,1,20,34,0,0,0,0,0,0,0,0,29,55,0,0,false,0,0,,,,Heavy Burst*,Corkscrew Rifling*,Polygonal Rifling,Extended Mag*,Alloy Magazine,Outlaw*,Burning Ambition*,Exhaustive Research*,Kill Tracker,Tier 1: Stability*,,,,,,,,,
Age-Old Bond,601592879,"""6917529093002565398""",favorite,Legendary,0,Auto Rifle,lastwish,Energy,Void,primary,10,High-Impact Frame,Handling,3,Vault,true,false,false,2,4,,100,61,31,87,16,0,0,0,30,400,34,31,51,0,0,0,0,0,0,0,0,10,49,0,0,false,0,0,,,,High-Impact Frame*,Arrowhead Brake*,Extended Barrel,Full Bore,Alloy Magazine,High-Caliber Rounds*,Tap the Trigger*,Ambitious Assassin*,Kill Tracker,Tier 3: Handling*,,,,,,,,,
Age-Old Bond,601592879,"""6917529328323326386""",,Legendary,0,Auto Rifle,lastwish,Energy,Void,primary,10,High-Impact Frame,Stability,3,Vault,false,false,false,2,4,,100,61,31,82,16,0,0,0,33,400,14,37,48,0,0,0,0,0,0,0,0,20,49,0,0,false,0,0,,,,High-Impact Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Polygonal Rifling,Extended Mag*,Armor-Piercing Rounds,Dynamic Sway Reduction*,Kill Clip*,Kill Tracker,Tier 3: Stability*,,,,,,,,,
Ager's Scepter,1833195496,"""6917529975875515881""",,Exotic,0,Trace Rifle,,KineticSlot,Stasis,special,461,Ager's Call,,,Vault,false,false,false,4,15,,100,100,6,69,16,0,0,0,99,1000,55,97,62,0,0,0,0,0,0,0,0,15,44,0,0,false,0,1771,,00001:Beta,,Ager's Call*,Arrowhead Brake*,Particle Repeater*,Rega's Refrain*,Hand-Laid Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,
Alethonym,2350354266,"""6917530064677159142""",,Exotic,0,Grenade Launcher,seasonpass,KineticSlot,Stasis,primary,459,Harvester Spike,,,Vault,false,false,false,7,25,,100,69,0,0,13,100,84,0,35,90,80,1,91,0,0,0,0,0,0,0,0,4,70,0,0,false,0,0,,,,Harvester Spike*,Countermass*,High-Velocity Rounds*,Vestigial Alchemy*,Short-Action Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,
All or Nothing,3984776322,"""6917530188249048847""",,Legendary,2,Pulse Rifle,renegades,KineticSlot,Strand,primary,422,Dynamic Heat Weapon,Reload Speed,2,Vault,false,false,false,8,28,,56,77,27,33,17,0,0,0,51,540,57,0,37,0,0,0,0,0,0,0,0,17,56,30,52,false,0,0,,,,Dynamic Heat Weapon*,Fluted Barrel*,Smallbore,Accelerated Heatsink*,Overclocked Heatsink,Zen Moment*,Kill Clip*,Air-Cooled Core*,Kill Tracker,Tier 2: Vent Speed*,,,,,,,,,
ALLEN 05,423677697,"""6917530186017909280""",,Legendary,5,Sniper Rifle,monumentoftriumph,KineticSlot,Strand,special,306,Adaptive Frame,Reload Speed,2,Vault,false,false,false,8,28,,62,62,70,54,40,0,0,0,45,90,20,5,47,0,0,0,0,0,0,0,0,14,41,0,0,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Full Bore,Extended Mag*,Steady Rounds,Built to Blast*,Shoot to Loot,Lucky Shot,Firing Line*,Hatchling,Butterfly,Carrion Munitions*,Kill Tracker,Tier 2: Reload Speed*,Triumphant Pulse*,,,,
ALLEN 05,423677697,"""6917530186180137964""",,Legendary,5,Sniper Rifle,monumentoftriumph,KineticSlot,Strand,special,360,Adaptive Frame,Stability,1,Vault,false,false,false,8,28,,72,62,70,55,40,0,0,0,56,90,36,4,33,0,0,0,0,0,0,0,0,11,41,0,0,false,0,0,,,,Adaptive Frame*,Extended Barrel*,Fluted Barrel,Steady Rounds*,Alloy Magazine,Fourth Time's the Charm*,Shoot to Loot,Lucky Shot,Precision Instrument*,Butterfly,To the Pain,Carrion Munitions*,Kill Tracker,Tier 1: Stability*,Triumphant Pulse*,,,,
ALLEN 05,423677697,"""6917530188583588598""",,Legendary,5,Sniper Rifle,monumentoftriumph,KineticSlot,Strand,special,416,Adaptive Frame,Handling,4,Vault,false,false,false,8,28,,62,62,70,48,40,0,0,0,45,90,18,5,62,0,0,0,0,0,0,0,0,14,41,0,0,false,0,0,,,,Adaptive Frame*,Fluted Barrel*,Polygonal Rifling,Extended Mag*,Alloy Magazine,Lone Wolf*,Tear,Outlaw,Precision Instrument*,Butterfly,To the Pain,Carrion Munitions*,Kill Tracker,Tier 4: Handling*,Triumphant Pulse*,,,,
ALLEN 05,423677697,"""6917530188592235651""",,Legendary,5,Sniper Rifle,monumentoftriumph,KineticSlot,Strand,special,416,Adaptive Frame,Reload Speed,1,Vault,false,false,false,8,28,,72,62,70,60,40,0,0,0,50,90,37,4,38,0,0,0,0,0,0,0,0,4,41,0,0,false,0,0,,,,Adaptive Frame*,Chambered Compensator*,Hammer-Forged Rifling,Accurized Rounds*,Alloy Magazine,Lone Wolf*,Built to Blast,Tear,Firing Line*,Moving Target,Butterfly,Carrion Munitions*,Kill Tracker,Tier 1: Reload Speed*,Triumphant Pulse*,,,,
ALLEN 05,423677697,"""6917530188887225626""",,Legendary,5,Sniper Rifle,monumentoftriumph,KineticSlot,Strand,special,428,Adaptive Frame,Handling,1,Vault,false,false,false,8,28,,62,62,70,63,40,0,0,0,36,90,47,5,39,0,0,0,0,0,0,0,0,4,41,0,0,false,0,0,,,,Adaptive Frame*,Full Bore*,Hammer-Forged Rifling,Tactical Mag*,Extended Mag,Fourth Time's the Charm*,Lone Wolf,Shoot to Loot,Precision Instrument*,Moving Target,To the Pain,Carrion Munitions*,Kill Tracker,Tier 1: Handling*,Triumphant Pulse*,,,,
ALLEN 05,423677697,"""6917530193068693315""",,Legendary,5,Sniper Rifle,monumentoftriumph,KineticSlot,Strand,special,481,Adaptive Frame,Handling,1,Warlock(482),false,false,false,8,28,,72,62,70,59,40,0,0,0,45,90,47,7,34,0,0,0,0,0,0,0,0,4,41,0,0,false,0,0,,,,Adaptive Frame*,Extended Barrel*,Full Bore,Tactical Mag*,Alloy Magazine,Lone Wolf*,Shoot to Loot,Lucky Shot,Firing Line*,Precision Instrument,Moving Target,Carrion Munitions*,Kill Tracker,Backup Mag*,Tier 1: Handling*,Triumphant Pulse*,,,
Ammit AR2,2119346509,"""6917529890036663960""",,Legendary,0,Auto Rifle,engram,Energy,Solar,primary,10,Precision Frame,Handling,2,Vault,false,false,false,5,18,,100,44,29,66,15,0,0,0,45,450,38,33,58,0,0,0,0,0,0,0,0,20,48,0,0,false,0,0,omolon,,,Precision Frame*,Arrowhead Brake*,Full Bore,Armor-Piercing Rounds*,Ricochet Rounds,Dynamic Sway Reduction*,Adrenaline Junkie*,Omolon Fluid Dynamics*,Kill Tracker,Tier 2: Handling*,,,,,,,,,
Ammit AR2,2119346509,"""6917529972997381060""",favorite,Legendary,0,Auto Rifle,engram,Energy,Solar,primary,10,Precision Frame,,,Vault,true,false,false,5,18,,71,44,29,66,15,0,0,0,55,450,53,33,51,0,0,0,0,0,0,0,0,20,48,0,0,crafted,14,107,omolon,,,Precision Frame*,Corkscrew Rifling*,Flared Magwell*,Dynamic Sway Reduction*,Incandescent*,Omolon Fluid Dynamics*,Kill Tracker,,,,,,,,,,,,
Apex Predator,1851777734,"""6917529975582178926""",,Legendary,0,Rocket Launcher,lastwish,Power,Solar,heavy,10,Adaptive Frame,Blast Radius,1,Vault,true,false,false,6,21,,61,68,0,0,20,61,54,0,38,20,44,1,44,0,0,0,0,0,0,0,0,3,33,0,0,false,0,0,,,,Adaptive Frame*,Linear Compensator*,Quick Launch,Black Powder*,Implosion Rounds,Danger Zone*,Surrounded*,Explosive Pact*,Kill Tracker,Tier 1: Blast Radius*,,,,,,,,,
Apex Predator,1851777734,"""6917529981900282433""",,Legendary,0,Rocket Launcher,lastwish,Power,Solar,heavy,10,Adaptive Frame,Velocity,10,Titan(10),true,false,false,6,21,,61,73,0,0,20,50,79,0,43,20,54,1,59,0,0,0,0,0,0,0,0,3,33,0,0,false,0,383,,00001:Solar,,Adaptive Frame*,Hard Launch,Quick Launch*,Black Powder,High-Velocity Rounds*,Reconstruction*,Bait and Switch*,Explosive Pact*,Kill Tracker,Targeting Adjuster*,Masterworked: Velocity*,Golden Trace*,,,,,,,
Apostate,2164448701,"""6917529691361646888""",,Legendary,0,Sniper Rifle,moon,Energy,Arc,special,10,Rapid-Fire Frame,Handling,1,Vault,false,false,false,3,8,,79,73,55,36,40,0,0,0,41,140,61,7,76,0,0,0,0,0,0,0,0,2,51,0,0,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Full Bore,Appended Mag*,Steady Rounds,Killing Wind*,Wellspring*,Kill Tracker,Tier 1: Handling*,,,,,,,,,,
Apostate,2164448701,"""6917529755677788943""",,Legendary,0,Sniper Rifle,moon,Energy,Arc,special,10,Rapid-Fire Frame,Range,3,Vault,false,false,false,3,8,,49,73,55,39,40,0,0,0,61,140,61,6,70,0,0,0,0,0,0,0,0,9,51,0,0,false,0,31,,,,Rapid-Fire Frame*,Corkscrew Rifling*,Hammer-Forged Rifling,Steady Rounds*,Alloy Magazine,Lead from Gold*,Quickdraw*,Kill Tracker,Tier 3: Range*,,,,,,,,,,
Appetence,4153087276,"""6917529958689515079""",,Legendary,0,Trace Rifle,seasonpass,KineticSlot,Stasis,special,10,Adaptive Frame,Handling,10,Titan(10),true,false,false,6,23,,93,100,6,80,15,0,0,0,80,1000,46,97,75,0,0,0,0,0,0,0,0,9,43,0,0,false,0,227,,,,Adaptive Frame*,Arrowhead Brake,Fluted Barrel*,Particle Repeater,Projection Fuse*,Demolitionist*,Killing Tally*,Dragon's Vengeance*,Kill Tracker,Masterworked: Handling*,,,,,,,,,
Appetence,4153087276,"""6917529961345917776""",,Legendary,0,Trace Rifle,seasonpass,KineticSlot,Stasis,special,10,Adaptive Frame,Handling,1,Vault,false,false,false,6,23,,93,100,6,75,15,0,0,0,80,1000,46,103,56,0,0,0,0,0,0,0,0,9,43,0,0,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Enhanced Battery*,Tactical Battery,Overflow*,Headstone*,Dragon's Vengeance*,Kill Tracker,Tier 1: Handling*,,,,,,,,,
